BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
29;0a3f5085-8b0e-32b8-e044-0003ba298018;2476780;510;64.0;1977;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1973-1978;126.6;8.1024;1973-1978;58;3.712;695784.0;6090562.63;POINT(695784 6090562.63);
30;0a3f5087-3533-32b8-e044-0003ba298018;2117846;120;173.0;1988;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;18.2342;1979-1998;90;15.57;687292.74;6099684.68;POINT(687292.74 6099684.68);
31;0a3f5085-658a-32b8-e044-0003ba298018;541651;130;175.0;1872;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Række-, kæde-, dobbelthus (lodret adskillelse mellem enhederne);Række-, kæde og dobbelthuse;Private husholdninger;Før 1890;158.2;27.684999999999995;<1930;175;30.625;693128.49;6096420.49;POINT(693128.49 6096420.49);
32;0a3f5086-65d3-32b8-e044-0003ba298018;1315917;120;93.0;1975;Varmepumpe;Elektricitet;2;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;11.141399999999999;1973-1978;117;10.881;687863.06;6110339.03;POINT(687863.06 6110339.03);
33;0a3f5087-373f-32b8-e044-0003ba298018;2119412;120;143.0;1985;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;15.0722;1979-1998;90;12.87;689179.61;6098924.68;POINT(689179.61 6098924.68);
34;0a3f5085-8afa-32b8-e044-0003ba298018;2476862;510;52.0;1976;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1973-1978;126.6;6.5832;1973-1978;58;3.016;695701.39;6090538.37;POINT(695701.39 6090538.37);
35;0a3f5087-4a7b-32b8-e044-0003ba298018;2114066;110;123.0;2001;Elovne, elpaneler;Elektricitet;0;Elvarme;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;1999-2006;81.0;9.963;>1998;73;8.979;679334.45;6108371.8;POINT(679334.45 6108371.8);
36;0a3f5085-5bb1-32b8-e044-0003ba298018;539763;120;109.5;1952;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1951-1960;154.9;16.96155;1951-1960;204;22.338;698657.73;6102442.81;POINT(698657.73 6102442.81);
37;0a3f5087-4770-32b8-e044-0003ba298018;2118703;320;52.0;2003;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Bygning til kontor, handel, lager herunder offentlig administration;Kontor, handel, lager, off. adm.;Handel og servicevirksomheder;1999-2006;89.6;4.6592;>1998;77;4.004;685030.88;6100964.01;POINT(685030.88 6100964.01);
38;0a3f5087-4531-32b8-e044-0003ba298018;2110495;110;190.0;1830;Varmepumpe;Elektricitet;2;Varmepumpe;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;Før 1890;184.3;35.017;<1930;211;40.09;689824.56;6106413.16;POINT(689824.56 6106413.16);
39;0a3f5087-37e7-32b8-e044-0003ba298018;2115633;210;243.0;1927;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;10.935;<1930;45;10.935;680073.27;6106256.31;POINT(680073.27 6106256.31);
40;0a3f5087-2494-32b8-e044-0003ba298018;2116076;120;158.0;1924;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;26.022599999999997;<1930;209;33.022;685675.86;6099953.23;POINT(685675.86 6099953.23);
41;0a3f5085-6482-32b8-e044-0003ba298018;540918;120;146.0;1968;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;19.607800000000005;1961-1972;143;20.878;693615.94;6098933.77;POINT(693615.94 6098933.77);
42;0a3f5087-2d3e-32b8-e044-0003ba298018;2114075;210;1154.0;2008;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;Efter 2006;22.0;25.388;>1998;22;25.388;678950.76;6107207.23;POINT(678950.76 6107207.23);
43;0a3f5087-3a10-32b8-e044-0003ba298018;2116802;510;55.0;1869;Varmepumpe;Elektricitet;0;Varmepumpe;Sommerhuse;Sommerhuse;Private husholdninger;Før 1890;205.8;11.319;<1930;74;4.07;689924.11;6097534.03;POINT(689924.11 6097534.03);
44;0a3f5087-3e2a-32b8-e044-0003ba298018;2121027;120;134.0;1914;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;0;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;22.0698;<1930;209;28.006;689898.08;6099204.46;POINT(689898.08 6099204.46);
