BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
154;3cae7253-0c9b-0f90-e044-0003ba298018;2114686;130;208.0;2012;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;90;Naturgas;Række-, kæde-, dobbelthus (lodret adskillelse mellem enhederne);Række-, kæde og dobbelthuse;Private husholdninger;Efter 2006;66.4;13.811200000000001;>1998;65;13.52;682689.97;6110533.26;POINT(682689.97 6110533.26);
155;0a3f5087-476e-32b8-e044-0003ba298018;2118701;220;144.0;1999;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o.lign.);Fabrikker, værksteder o.l.;Industri;1999-2006;66.0;9.504;>1998;66;9.504;685020.92;6100926.57;POINT(685020.92 6100926.57);
156;0a3f5085-9185-32b8-e044-0003ba298018;2480455;410;466.0;1700;Elovne, elpaneler;Elektricitet;0;Elvarme;Bygning til biograf, teater, erhvervsmæssig udstilling, bibliotek, museum, kirke o.lign.;Bibliotek, kirke, museum o.l.;Kommunale og andre offentlige institutioner;Før 1890;166.0;77.356;<1930;140;65.24;717525.34;6099532.86;POINT(717525.34 6099532.86);
157;0a3f5087-2a49-32b8-e044-0003ba298018;2115215;120;109.0;1985;Ovne (kakkelovne, kamin, brændeovn og lignende);Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;11.4886;1979-1998;90;9.81;683604.25;6106455.25;POINT(683604.25 6106455.25);
158;0a3f5085-6412-32b8-e044-0003ba298018;541199;220;97.0;1984;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o.lign.);Fabrikker, værksteder o.l.;Industri;1979-1998;66.0;6.402;1979-1998;66;6.402;693850.28;6098916.52;POINT(693850.28 6098916.52);
159;434b5797-c60c-6fdf-e044-0003ba298018;2698527;120;104.0;1968;Elovne, elpaneler;Elektricitet;0;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;13.9672;1961-1972;143;14.872;717495.36;6097043.39;POINT(717495.36 6097043.39);
160;0a3f5087-4e4e-32b8-e044-0003ba298018;2116896;120;184.0;1985;Elovne, elpaneler;Elektricitet;2;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;19.393600000000003;1979-1998;90;16.56;691574.44;6095995.79;POINT(691574.44 6095995.79);
161;0a3f5087-2bf9-32b8-e044-0003ba298018;2120195;510;54.0;1980;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1979-1998;134.8;7.2792;1979-1998;42;2.268;683676.04;6099315.27;POINT(683676.04 6099315.27);
162;0a3f5086-6c4d-32b8-e044-0003ba298018;1317609;110;274.5;2013;Centralvarme fra eget anlæg, et-kammer fyr;Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;Efter 2006;66.6;18.281699999999997;>1998;73;20.0385;692972.68;6110458.48;POINT(692972.68 6110458.48);
163;0a3f5085-8ee5-32b8-e044-0003ba298018;2486136;120;73.0;1925;Ovne (kakkelovne, kamin, brændeovn og lignende);Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;12.023099999999998;<1930;209;15.257;712814.0;6101514.0;POINT(712814 6101514);
164;0a3f5086-68bb-32b8-e044-0003ba298018;1315172;220;356.0;1976;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;0;Naturgas;Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o.lign.);Fabrikker, værksteder o.l.;Industri;1973-1978;97.0;34.532;1973-1978;97;34.532;688119.95;6112662.43;POINT(688119.95 6112662.43);
165;0a3f5085-6434-32b8-e044-0003ba298018;542575;210;60.0;1900;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;2.7;<1930;45;2.7;698275.56;6102949.64;POINT(698275.56 6102949.64);
166;0a3f5087-491a-32b8-e044-0003ba298018;2113357;230;41.0;1970;Elovne, elpaneler;Elektricitet;0;Elvarme;El-, gas-, vand- eller varmeværk forbrændingsanstalt m.v..;El-, gas-, vand- og varmeværker;Industri;1961-1972;97.0;3.977;1961-1972;97;3.977;677666.54;6111610.37;POINT(677666.54 6111610.37);
167;0a3f5087-32c6-32b8-e044-0003ba298018;2119365;120;148.0;1973;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;0;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;17.7304;1973-1978;117;17.316;689242.93;6099276.9;POINT(689242.93 6099276.9);
168;0a3f5085-6882-32b8-e044-0003ba298018;542842;120;100.0;1970;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;0;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;13.430000000000001;1961-1972;143;14.3;695113.44;6104462.41;POINT(695113.44 6104462.41);
169;0a3f5086-7050-32b8-e044-0003ba298018;1318484;140;384.0;2007;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Etageboligbebyggelse;Etageboligbebyggelse;Private husholdninger;Efter 2006;60.7;23.3088;>1998;64;24.576;694154.09;6112778.43;POINT(694154.09 6112778.43);
170;0a3f5085-89e2-32b8-e044-0003ba298018;2478028;120;172.0;1862;Varmepumpe;Elektricitet;2;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Før 1890;170.3;29.291600000000003;<1930;209;35.948;708583.08;6090996.81;POINT(708583.08 6090996.81);
171;0a3f5085-6804-32b8-e044-0003ba298018;540799;110;161.0;1948;Varmepumpe;Elektricitet;0;Varmepumpe;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;1931-1950;161.8;26.0498;1931-1950;216;34.776;694401.02;6098533.02;POINT(694401.02 6098533.02);
172;0a3f5087-46e2-32b8-e044-0003ba298018;2110470;210;1005.0;1998;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1979-1998;22.0;22.11;1979-1998;22;22.11;686321.62;6110184.9;POINT(686321.62 6110184.9);
173;0a3f5085-609e-32b8-e044-0003ba298018;540689;120;97.0;1946;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;15.917699999999998;1931-1950;217;21.049;697705.61;6098841.62;POINT(697705.61 6098841.62);
